keydate,contractnumber,customernumber,companycode,contract_status,contract_substatus,totalarrearamount,totalfeeamount,totalinterestamount,totalcapitalamount,totalotheramount,financetypedescription,postofficecode,FuelType,modeldescription,chassisnumber,plate,contractstartdate,contractenddate,DealerID,newused,substatuscode,terminationdate,numberofdowns,bpname,dpd,netbookvalue,fiscalregistrationcode,retailcorporate,legalentitycode,customernetbookvalue,collectioncaseid,collectioncase_status,lastupdateuser,lastupdatedatetime,primarytaskid,servicecase_status,servicecase_subtask,collectioncase_subtask,contract_flag,bp_flag,LitigationStatus,holddate,BankruptcyStatus,PromiseStatus,ExtAgencyStatus,ExtAgencyName,ExtAgencySubtaskStatus,lastinteractiontype,workqueue,workqueue_entrydate,workqueue_updatedate,servicecasequeue_status,lastrejectcode,lastpaymentinvoice,Task_Status_List,subtaskleadingcase,leadingcase,allocationrange,lastworkeddate,oldestduedate,lastdelinquencyreason,lastdelinquencyreasondate,bucket,ND_FLAG,country,customertotalarrearamount,ND_DATE,foreclosuredate,prior_totalarrearamount,leadingcasestatus,id,languagecode,lastworkeddatesystem,lastworkeddateuser,row_hash
2/23/2025,1020916,331082833,331,ENDED - Ended,800 - Contract Matured,222.88,0,0,222.88,0,Crédit Bail,null,DIESEL,"SPRINTER EURO 5 316CDI5 FCS43 3,5T FOURGON RALLONG",DPGA002-+jYOZnrKv3T0gqIiR/OqFE76PGV+MAkenuoNLsO8lA8O,DPGA002-y/puwHh8Wr8skoX9EEgtfwY=,11/25/2010,11/25/2015,330602086,N,800,8/23/2016,4,DPGA002-tDacSorWYNoFQGOH/83G7DE=,241,3562.5,null,R,COMPANY,0,C-FR-PC-13012,Pending-DebtSale,System,2024-10-09T07:28:01Z,DS-FR-17002,Pending-DebtSold,Debt Sold,Review - Early Collections,null,null,null,2024-04-09T18:30:00Z,null,Pending-BrokenPromise,null,null,null,outbound phone call,null,null,null,null,63,null,"Pending-DebtSold : Debt Sold, Pending-BrokenPromise : Broken Promise, Pending-TRMReview : Termination, Pending-ReviewPayPlanBroken : Payment Plan",Debt Sold,Debt Sale,Range6,2024-04-25T07:49:33Z,6/27/2024,Other,2024-04-08T10:29:04Z,Bucket 7:181+,No,FRANCE,114.27,null,6/27/2029,null,Pending-DebtSold,null,null,null,2024-04-25T07:49:33Z,b04b733cfc89f2c095b069adcc58ad3b7793b8bc6a88aaa945603abe1c788b2d
2/23/2025,1216110,331186350,331,LIVE - Live,200 - Contract live,1000,null,null,300,null,LTR Battery Sale and Care,null,ELECTRIC,"Batterie S&C 17,6 kw Lithium Ion",DPGA002-1cWm5ae46Trr2z+d/AuwAu6R/Vmkv+C3bSohi/Up1zRx,null,9/18/2015,9/18/2025,330995108,N,200,null,null,DPGA002-vWDVJSeIL4tSNaOMFMoQ07emqBNqNxFan0JmtkPvlugu,null,788.94,null,R,COMPANY,3115.93,C-FR-PC-11366,Pending-Bankruptcy,System,2024-10-09T07:28:00Z,BK-FR-21014,Pending-SRAmicable,Initial Review,Review - Early Collections,null,null,null,null,Pending-SRAmicable,null,null,null,null,Research,FRBankruptcyWQ,2024-04-04T12:43:17Z,2024-04-04T12:43:17Z,Pending-SRAmicable,14,null,Pending-SRAmicable : Initial Review,Initial Review,Bankruptcy,Range3,2024-04-04T12:43:17Z,null,null,2024-03-01T07:32:37Z,null,No,FRANCE,null,null,null,null,Pending-SRAmicable,null,null,null,2024-04-04T12:43:17Z,f556377dabd3fca09a1ec7c214067c059e2cb7b40ae8a88b9ed2e6a61f5f4eb3
2/23/2025,1318750,330058117,331,LIVE - Live,200 - Contract live,1000,null,null,300,null,Cr�dit,null,DIESEL,ACTROS 1845 LSN 37,DPGA002-PYhsOPBPn6DUFgLYTjk9dLQWTCXzbPGMx3FhT7ApfEpX,DPGA002-w8CtOMlIhww8Ll0Il95IoW0=,10/2/2017,10/2/2024,330602141,N,200,null,null,DPGA002-T6tLU6kn0BRH0omkhNGIo6tBVyUCKfbsb312LwwmWfqLFuwuhswz3MzOavzhhw935RU39dPrUk46IdtLmkhhmlE=,null,7796.54,null,C,COMPANY,0,C-FR-PC-74007,Pending-EOC,System,2024-10-09T07:29:49Z,EOC-FR-74008,Pending-EOCInvoicesInArrears,EOC Invoices,FirstDayOfArrears,null,null,null,null,null,null,null,null,null,null,FREndOfContractWQ,2024-10-03T12:25:24Z,2024-10-10T12:25:33Z,Pending-EOCInvoicesInArrears,null,null,Pending-EOCInvoicesInArrears : EOC Invoices,EOC Invoices,End Of Contract,Range1,2024-10-03T12:25:19Z,null,null,null,null,No,FRANCE,126.27,null,null,null,Pending-EOCInvoicesInArrears,null,null,2024-10-03T12:25:19Z,null,88fef2e42e9a5fe069f723e036c9de1307a64ca19e7c10781fafeb491c88d5a9
2/23/2025,1372472,331247625,331,LIVE - Live,200 - Contract live,1000,null,null,300,null,Location avec option d achat,null,DIESEL,Classe E (213) Berline 200 d BA Ligne Fascination,DPGA002-Tnsc8vm/7h128vcPnBqcGDA1WqAo29dMvZGmNWpAc3bR,DPGA002-aVbe8PByRhdlaRwk3kWfgtg=,9/27/2018,4/27/2024,330602502,N,200,null,null,DPGA002-hMb/w0bHeXhzkJ339rsQMqw=,null,8579.65,071075MEGLI,R,SOLE TRADER,8579.65,C-FR-PC-41302,Pending-EOC,System,2024-10-09T07:28:38Z,EOC-FR-41316,Pending-EOCInvoicesInArrears,EOC Invoices,FirstDayOfArrears,null,null,null,null,null,null,null,null,null,null,FREndOfContractWQ,2024-05-04T07:59:35Z,2024-05-11T07:59:57Z,Pending-EOCInvoicesInArrears,null,null,Pending-EOCInvoicesInArrears : EOC Invoices,EOC Invoices,End Of Contract,Range5,2024-05-04T07:59:24Z,null,null,null,null,No,FRANCE,null,null,null,null,Pending-EOCInvoicesInArrears,null,null,2024-05-04T07:59:24Z,null,c2210527c84fe3a8826cfa9721d7ee66eb4f8d3745c5a5f4cab7897ae729b882
2/23/2025,1387079,330302147,331,ENDED - Ended,820 - Contract Settled,-285.38,0,0,-285.38,0,Location longue durée,null,DIESEL,Sprinter Fourgon 314 Fourgon toit surélevé 43 3T5,DPGA002-+W+8Qz+biRA3jspeQSwNT7TbBpDRfWS+1V+/2C3HmZ3A,DPGA002-Mb0DvJ3ohYaig5QT3EfubVs=,12/17/2018,6/17/2021,330600197,N,820,12/3/2020,1,DPGA002-f7RrEFDBMoQWysQ2x3vJ50VcnBmQvPJQP0jHMmTvU5bR,null,0,null,R,COMPANY,0,C-FR-PC-58048,Pending-Settlement,System,2024-10-09T07:29:11Z,SET-FR-19005,Pending-ProposalApproverRejected,Proposal Rejected by Approver,Credit Balance,null,null,null,null,null,null,null,null,null,null,FRSettlementWQ,2024-08-26T12:24:45Z,2024-08-26T12:24:45Z,Pending-ProposalApproverRejected,null,XE28345963,Pending-ProposalApproverRejected : Proposal Rejected by Approver,Proposal Rejected by Approver,Settlement,Range2,2024-08-26T12:24:45Z,null,null,null,null,No,FRANCE,-285.38,null,null,null,Pending-ProposalApproverRejected,null,null,2024-07-11T14:52:35Z,2024-08-26T12:24:45Z,ec38365d7e117ac7409a9775822fe0b02f2368e3df3ff430c52eb4a75c9361bb
2/23/2025,1393667,331276663,331,LIVE - Live,200 - Contract live,1000,null,null,300,null,Cr�dit Bail,null,DIESEL,Sprinter Fourgon 211 nouveau Sprinter Fourgon emp ,DPGA002-pyLm6gWbGuP8mRayVVW65dSTN4YnO/J+jmYodGqOrrRq,DPGA002-H8/EKt8/wHw2fLzl3gGqagA=,1/25/2019,4/25/2024,331201046,N,200,null,null,DPGA002-hiMPiRfSO9Bf7kqzk+noqWI=,null,3390.74,null,R,COMPANY,283893.44,C-FR-PC-41393,Pending-EOC,System,2024-10-09T07:28:41Z,EOC-FR-41407,Pending-EOCInvoicesInArrears,EOC Invoices,FirstDayOfArrears,null,null,null,null,null,null,null,null,null,null,FREndOfContractWQ,2024-05-04T08:17:39Z,2024-05-11T08:18:03Z,Pending-EOCInvoicesInArrears,null,null,Pending-EOCInvoicesInArrears : EOC Invoices,EOC Invoices,End Of Contract,Range5,2024-05-04T08:17:28Z,null,null,null,null,No,FRANCE,null,null,null,null,Pending-EOCInvoicesInArrears,null,null,2024-05-04T08:17:28Z,null,34c3303bc925dedb1bcd6bb0502d86e6c048ffa5bdfb3c1a8be902c8f89f6ac3
2/23/2025,1397803,331249160,331,LIVE - Live,200 - Contract live,1000,null,null,300,null,Cr�dit Bail,null,DIESEL,DD Sprinter Chassis Cabine SPRINTER VS30 516 Ch�ss,DPGA002-Vt7r37IKWLkyArH3+5VVUYhVhfKWiv5yGf77ZlZgQGfQ,DPGA002-+IXbAqBob6PSNtVfZy6imCs=,2/22/2019,2/22/2024,330602414,N,200,null,null,DPGA002-eNaZRRmEKFh5s3jmTLxUBF0=,null,3260,null,R,COMPANY,9800,C-FR-PC-26125,Pending-EOC,System,2024-10-09T07:28:06Z,EOC-FR-25126,Pending-EOCInvoicesInArrears,EOC Invoices,FirstDayOfArrears,null,null,null,null,null,null,null,null,null,null,FREndOfContractWQ,2024-02-24T11:01:00Z,2024-03-02T11:01:01Z,Pending-EOCInvoicesInArrears,null,null,Pending-EOCInvoicesInArrears : EOC Invoices,EOC Invoices,End Of Contract,Range2,2024-02-24T11:00:59Z,null,null,null,null,No,FRANCE,null,null,null,null,Pending-EOCInvoicesInArrears,null,null,2024-02-24T11:00:59Z,null,f0e7e203ffa444d568f41749fec75c27b514588c5baa214fc50daec5a4ffd8ba
2/23/2025,1398533,331220062,331,LIVE - Live,700 - Contract suspended,8957.17,299.6,231.22,8426.35,0,LOA Facility,null,DIESEL,Classe E (213) MY Berline 200 d BA AMG Line,DPGA002-QNbWUcuQqYKnqBAmLdX7plb6PGV+MAkenuoNLsO8lA8O,DPGA002-Mpu/ws1ZqZxS46M3RdVxyn0=,2/27/2019,3/27/2021,330602502,N,700,null,0,DPGA002-4h7fCtfGyIPmsUeq8haLgk0eGFyeF8yMqCtLTF58pHF7,1439,22159.38,null,C,COMPANY,945701.46,C-FR-PC-32023,Pending-EOC,System,2024-10-09T07:28:27Z,EOC-FR-32114,Pending-RVinArrears,RV in Arrears,Review - Early Collections,null,null,null,null,null,null,null,null,null,null,FREndOfContractWQ,2024-03-27T11:03:10Z,2024-04-03T11:03:39Z,Pending-RVinArrears,58,XK00042130,Pending-RVinArrears : RV in Arrears,RV in Arrears,End Of Contract,Range1,2024-03-26T11:36:34Z,3/17/2021,null,null,Bucket 7:181+,No,FRANCE,52350.64,null,3/17/2026,null,Pending-RVinArrears,null,null,2024-03-26T11:36:34Z,null,dbb476d80d08dabc83d896aa3d98e4d2f474ee2d48e4ee9855a95ca84aedc25f
2/23/2025,1401957,331294460,331,LIVE - Live,200 - Contract live,1000,null,null,300,null,Cr�dit,null,DIESEL,Classe E (01/13) 250 BlueTEC Fascination 4M 7GTro+,DPGA002-vFRZxB4SneL2tS0p19H1Txcs+pjeNJwzQ6tzkCKJ5AgT,DPGA002-eacRgByDKoDv6xStaW8qGHM=,3/21/2019,3/21/2024,331040170,U,200,null,null,DPGA002-3EF0UXW2SP5lgipzvjHh3eY=,null,799.63,null,null,OTHERS,null,C-FR-PC-29041,Pending-EOC,System,2024-10-09T07:28:18Z,EOC-FR-29039,Pending-EOCInvoicesInArrears,EOC Invoices,FirstDayOfArrears,null,null,null,null,null,null,null,null,null,null,FREndOfContractWQ,2024-03-22T10:57:33Z,2024-03-29T10:57:38Z,Pending-EOCInvoicesInArrears,null,null,Pending-EOCInvoicesInArrears : EOC Invoices,EOC Invoices,End Of Contract,null,2024-03-22T10:57:29Z,null,null,null,null,No,FRANCE,null,null,null,null,Pending-EOCInvoicesInArrears,null,null,2024-03-22T10:57:29Z,null,1525f4076d27c839387dabd30a1a241d8389cf3e7c0095d74fb8dbf91f8b2862
2/23/2025,1402738,331334273,331,LIVE - Live,200 - Contract live,1000,null,null,300,null,Cr�dit Bail Facility,null,DIESEL,Vito Fourgon Long VITO 109 CDI Fourgon Long PRO,DPGA002-ZLlDjtPuX8xYsELOSOrPKGz6PGV+MAkenuoNLsO8lA8O,DPGA002-9oCO8b329lYrsZpjKaW1u2M=,3/27/2019,3/27/2024,331448820,N,200,null,null,DPGA002-JjbTOwUqGE4tqdOpmk8sAlWR/i/nZjb6TsmMxctKHBdPwr8z6boPDwfWs2NMzjHxMw==,null,5985.35,null,R,COMPANY,105019.21,C-FR-PC-32056,Pending-EOC,System,2024-10-09T07:28:28Z,EOC-FR-33009,Pending-EOCInvoicesInArrears,EOC Invoices,FirstDayOfArrears,null,null,null,null,null,null,null,null,null,null,FREndOfContractWQ,2024-03-28T10:57:59Z,2024-04-04T10:58:13Z,Pending-EOCInvoicesInArrears,null,null,Pending-EOCInvoicesInArrears : EOC Invoices,EOC Invoices,End Of Contract,Range2,2024-03-28T10:57:53Z,null,null,null,null,No,FRANCE,null,null,null,null,Pending-EOCInvoicesInArrears,null,null,2024-03-28T10:57:53Z,null,fe9370c0e468103d6138c46472e6c8839d46eb8caf56afd41cb44739b0895327
